DOL,CD,FI3312A
50.792,6.012,29.657
50.833,6.011,28.992
50.875,6.011,29.363
50.958,6.011,29.055
51.000,6.010,29.725
51.042,6.012,29.736
51.083,6.011,29.749
51.125,6.011,29.449
51.167,6.011,29.614
51.208,6.010,29.588
51.250,6.010,29.923
51.292,6.010,29.745
51.375,6.011,29.124
51.417,6.014,29.756
51.458,6.014,29.951
51.500,6.014,29.076
51.542,6.014,29.510
51.583,6.013,29.886
51.625,6.014,29.992
51.667,6.014,29.732
51.708,6.013,29.460
51.750,6.013,29.285
51.792,6.014,29.079
51.833,6.014,29.908
51.875,6.014,29.193
51.958,6.014,29.193
52.000,6.013,29.359
52.042,6.014,29.944
52.083,6.015,30.050
52.125,6.013,30.153
52.167,6.012,30.011
52.208,6.012,30.026
52.250,6.012,30.277
52.292,6.011,29.464
52.375,6.012,29.535
52.417,6.013,29.859
52.458,6.012,29.903
52.500,6.013,29.918
52.542,6.013,29.622
52.583,6.014,29.633
52.625,6.012,29.363
52.667,6.012,29.847
52.708,6.013,29.761
52.750,6.013,29.860
52.792,6.012,29.807
52.833,6.012,29.530
52.875,6.014,29.856
52.958,6.012,29.822
53.000,6.012,29.609
53.042,6.013,29.667
53.083,6.014,29.076
53.125,6.014,29.928
53.167,6.014,29.159
53.208,6.013,29.222
53.250,6.013,29.610
53.292,6.013,29.964
53.375,6.014,29.455
53.417,6.014,29.872
53.458,6.014,29.904
53.500,6.015,29.882
53.542,6.014,29.726
53.583,6.015,30.028
53.625,6.014,29.928
53.667,6.014,30.285
53.708,6.015,29.453
53.750,6.014,29.974
53.792,6.014,30.161
53.833,6.013,29.428
53.875,6.014,30.020
53.958,6.014,29.934
54.000,6.014,29.502
54.042,6.014,29.627
54.083,6.013,30.159
54.125,6.014,29.475
54.167,6.013,29.427
