CD,FI3312A,TI3302A
6.014,28.768,89.373
6.012,28.847,89.352
6.012,28.392,89.361
6.011,28.743,89.380
6.011,28.881,89.383
6.013,28.842,89.364
6.012,28.649,89.385
6.012,28.748,89.646
6.012,28.825,89.651
6.013,28.744,89.671
6.012,28.872,89.628
6.013,28.776,89.630
6.013,28.861,89.675
6.013,28.852,89.682
6.013,28.937,89.618
6.013,28.958,89.664
6.013,28.919,89.679
6.014,28.883,89.588
6.015,28.503,89.634
6.012,29.008,89.650
6.012,28.838,89.636
6.014,28.983,89.646
6.014,28.888,89.637
6.014,29.005,89.638
6.012,28.509,89.609
6.013,28.646,89.595
6.014,28.861,89.610
6.012,28.844,89.642
6.012,28.857,89.636
6.011,28.992,89.654
6.012,28.653,88.721
6.012,28.847,88.729
6.013,28.041,88.748
6.013,28.503,88.733
6.013,28.130,88.738
6.013,28.861,88.709
6.014,28.596,88.736
6.013,28.166,88.705
6.012,28.744,88.701
6.013,28.621,88.902
6.012,28.134,88.985
6.013,28.562,89.009
6.013,28.816,88.997
6.012,28.283,88.994
6.013,28.914,88.997
6.014,28.829,89.004
6.015,28.869,89.002
6.014,28.809,88.983
6.014,28.537,88.965
6.013,28.176,88.980
6.012,28.266,88.990
6.013,28.827,88.907
6.012,28.474,89.039
6.013,28.949,89.037
6.013,28.801,89.075
6.013,28.805,88.982
6.015,28.912,88.695
6.015,28.445,88.680
6.016,28.043,88.709
6.015,28.869,88.680
6.014,28.597,88.638
6.015,28.139,88.617
6.014,28.801,88.613
6.014,28.258,88.624
6.014,28.227,88.580
6.014,28.576,88.773
6.014,28.785,88.992
6.014,28.328,89.001
6.014,28.495,88.983
6.012,28.856,88.977
6.012,28.254,88.969
6.013,28.755,88.965
6.015,28.485,88.977
6.012,28.463,88.964
6.012,28.883,88.996
6.013,28.829,88.972
6.013,28.486,89.018
6.015,28.987,89.053
6.017,28.990,88.992
6.013,29.085,89.029
6.014,29.143,89.100
6.015,28.888,88.757
6.014,28.968,88.683
6.015,28.303,88.678
6.015,28.231,88.670
6.014,28.327,88.679
6.013,28.710,88.638
6.015,28.142,88.645
6.013,28.726,88.625
6.013,28.845,88.646
6.014,28.644,88.643
6.014,28.200,88.621
6.012,28.355,88.621
6.013,28.343,88.629
6.014,28.438,88.639
6.012,28.746,88.656
6.013,28.166,88.675
6.013,28.032,88.754
6.014,28.381,88.789
6.014,28.575,88.795
6.014,28.280,88.807
6.015,28.891,88.750
6.016,28.868,88.739
6.016,28.142,88.700
6.014,28.854,88.705
6.016,28.698,88.702
6.015,28.762,88.695
6.016,29.055,88.705
6.014,28.915,88.707
6.012,28.437,88.644
6.014,28.790,88.665
6.014,28.121,88.663
6.015,28.817,88.672
6.014,28.662,88.651
6.014,28.036,88.652
6.014,28.186,88.652
6.016,28.838,88.637
6.017,28.636,88.630
6.014,29.564,88.664
6.014,29.317,88.707
6.018,29.660,88.693
6.016,29.465,88.646
6.018,29.205,88.705
6.017,29.456,88.681
6.015,29.061,88.716
6.016,29.575,88.707
6.015,29.086,88.672
6.019,29.090,88.639
6.016,29.478,88.604
6.017,29.448,88.593
6.017,28.937,88.598
6.017,28.655,88.605
6.014,28.954,88.590
6.014,28.526,88.594
6.015,29.200,88.580
6.014,29.306,88.604
6.012,28.833,88.605
6.012,29.280,88.613
6.013,28.943,88.674
6.014,29.082,88.665
6.014,29.550,88.638
6.014,29.580,88.673
6.015,29.615,88.664
6.015,29.371,88.661
6.015,29.315,88.714
6.016,29.350,88.720
6.015,29.294,88.719
6.016,28.748,88.679
6.016,29.430,88.671
6.014,28.919,88.615
6.014,29.521,88.634
6.016,29.250,88.599
6.015,29.439,88.597
6.015,28.864,88.592
6.014,29.363,88.599
6.014,28.628,88.609
6.015,29.086,88.605
6.014,29.314,88.611
6.013,28.689,88.627
6.014,28.713,88.541
6.014,29.486,88.615
6.013,29.621,88.606
6.014,29.062,88.641
6.014,29.113,88.654
6.013,29.092,88.636
5.211,28.259,86.310
5.578,28.677,87.641
6.011,29.023,88.975
6.013,29.273,89.048
6.013,29.212,89.041
6.014,29.125,88.966
6.013,29.100,88.948
6.010,29.418,88.992
6.012,28.666,89.019
6.014,28.547,89.047
6.012,29.245,89.044
6.014,28.692,88.946
6.015,28.844,88.965
6.013,28.811,88.955
6.012,29.325,88.925
6.013,29.179,88.927
6.011,28.929,88.932
6.012,28.946,88.929
6.011,28.853,88.986
6.013,29.068,89.099
6.014,28.818,89.061
5.672,29.376,88.002
5.671,29.090,88.108
6.010,28.572,89.243
6.008,29.052,89.281
6.008,28.690,89.061
6.009,29.254,89.045
6.010,28.791,89.050
6.011,29.233,89.036
6.010,29.396,89.037
6.010,29.268,89.033
6.011,29.346,88.968
6.009,29.185,89.053
6.010,29.140,89.069
6.011,28.844,89.057
6.009,29.187,89.053
6.009,29.273,89.044
6.009,29.293,89.065
6.010,28.715,89.067
6.010,28.975,89.060
6.009,28.879,89.049
6.009,29.182,89.043
6.010,29.280,89.067
6.009,29.158,89.051
6.010,28.602,89.057
6.011,29.148,89.094
6.010,28.628,89.080
6.011,29.033,88.993
6.010,28.966,89.058
6.010,29.106,88.945
6.010,29.335,88.965
6.012,29.657,89.001
6.011,28.992,88.982
6.011,29.363,88.984
6.011,29.055,88.977
6.010,29.725,89.268
6.012,29.736,89.321
6.011,29.749,89.310
6.011,29.449,89.334
6.011,29.614,89.355
6.010,29.588,89.318
6.010,29.923,89.254
6.010,29.745,89.261
6.011,29.124,89.342
6.014,29.756,89.385
6.014,29.951,89.373
6.014,29.076,89.323
6.014,29.510,89.406
6.013,29.886,89.433
6.014,29.992,89.140
6.014,29.732,89.030
6.013,29.460,88.990
6.013,29.285,88.966
6.014,29.079,89.005
6.014,29.908,88.996
6.014,29.193,89.019
6.014,29.193,89.286
6.013,29.359,89.307
6.014,29.944,89.288
6.015,30.050,89.297
6.013,30.153,89.286
6.012,30.011,89.275
6.012,30.026,89.298
6.012,30.277,89.261
6.011,29.464,89.319
6.012,29.535,89.376
6.013,29.859,89.343
6.012,29.903,89.382
6.013,29.918,89.366
6.013,29.622,89.365
6.014,29.633,89.354
6.012,29.363,89.363
6.012,29.847,89.352
6.013,29.761,89.357
