CD,FI3312A,FI3312B,TI3302A
2.452,13.781,29.889,84.037
2.454,13.851,29.941,84.079
2.452,13.858,29.765,84.032
2.453,13.784,29.628,83.983
2.452,13.747,29.399,83.947
6.012,28.888,30.458,88.426
6.012,28.566,30.233,88.906
6.012,28.278,30.391,88.819
6.013,28.608,30.807,88.785
6.014,28.223,30.146,88.807
6.012,28.359,30.573,88.840
6.014,28.875,29.766,88.857
6.013,28.528,30.302,88.902
6.012,28.434,30.501,88.900
4.294,25.381,29.749,89.166
2.452,14.447,30.687,85.107
2.451,14.397,30.935,84.424
2.454,14.474,30.775,84.836
2.453,14.476,30.316,85.091
2.453,14.416,30.525,85.100
2.452,14.328,30.879,85.066
2.453,14.412,30.793,85.244
2.453,14.446,30.558,85.313
2.453,14.507,30.761,85.316
2.453,14.500,30.699,85.275
2.453,14.492,30.567,85.266
2.453,14.473,30.525,85.259
6.012,30.025,31.576,88.721
6.011,30.045,31.801,88.731
6.012,29.969,31.543,88.779
6.012,29.975,31.607,88.846
6.011,30.036,31.478,88.842
6.011,30.133,31.433,88.853
6.012,30.031,31.910,88.880
6.012,30.106,31.382,88.879
6.013,30.203,32.019,88.851
2.456,14.873,31.256,86.254
2.454,14.511,30.867,84.898
2.455,14.567,30.977,84.641
2.454,14.543,31.034,84.436
2.454,14.424,30.682,84.257
2.452,14.295,30.755,84.209
2.454,14.431,31.026,84.333
2.453,14.490,30.703,84.407
2.453,14.262,30.429,84.178
2.451,14.206,30.784,84.125
2.450,14.210,30.836,84.269
2.451,14.247,30.592,84.208
2.451,14.314,30.619,84.178
6.010,29.725,31.066,88.583
6.010,29.682,31.544,88.881
6.011,29.735,31.150,88.926
6.009,29.627,31.202,88.980
6.011,29.938,31.426,88.969
6.011,29.572,31.622,88.959
6.010,29.863,30.827,88.965
6.009,29.761,31.078,88.984
6.011,29.943,31.252,88.835
3.372,18.977,30.628,86.505
2.452,13.220,30.570,84.218
2.454,13.314,30.687,83.729
2.455,13.367,30.890,83.624
2.456,13.552,30.898,83.621
2.456,13.592,31.165,83.645
2.455,14.006,31.017,83.732
2.455,14.140,31.060,84.240
2.455,14.100,31.082,84.244
2.454,14.074,30.700,84.287
2.455,14.030,31.073,84.234
2.454,14.023,30.528,84.173
2.453,13.964,30.570,84.060
6.010,29.561,31.508,88.979
6.010,28.799,31.395,88.883
6.011,29.264,31.302,88.944
6.011,29.392,31.356,89.050
6.011,29.243,31.362,89.065
6.008,28.773,31.347,89.028
6.008,29.241,31.158,88.983
6.010,29.291,31.129,88.950
6.010,29.094,31.285,88.974
6.010,29.171,31.357,89.081
6.008,29.270,31.538,89.071
6.012,29.215,31.143,89.139
6.011,28.541,31.056,89.182
6.012,29.190,31.379,89.133
6.013,28.871,31.056,89.105
6.010,29.234,31.225,89.091
6.012,29.182,31.103,89.062
6.010,29.097,31.343,89.018
6.010,29.027,30.960,89.020
6.009,28.429,30.874,88.983
6.008,29.008,30.712,88.977
6.007,29.036,30.868,88.970
6.006,29.088,30.896,88.968
6.006,29.161,31.276,88.926
6.005,29.094,30.727,89.206
6.006,29.192,30.798,89.271
6.006,29.207,30.760,89.285
6.005,29.080,30.633,89.229
6.005,29.081,30.571,89.201
6.003,29.079,30.721,89.168
6.003,29.005,30.342,89.195
6.005,28.967,30.888,89.278
6.006,29.225,30.957,89.356
6.009,29.308,30.828,89.414
6.011,29.096,31.000,89.486
6.011,29.198,30.875,89.443
6.010,29.254,30.981,89.389
6.012,29.387,31.209,89.427
6.013,29.420,31.040,89.499
6.013,29.380,31.231,89.387
6.012,29.237,31.156,89.331
6.011,29.236,31.512,89.329
6.012,29.355,31.349,89.364
6.011,29.199,30.963,89.350
6.010,29.233,30.899,89.367
6.009,29.016,30.853,89.317
6.009,29.131,30.815,89.287
6.008,28.879,30.862,89.251
6.009,29.191,30.857,89.244
6.008,29.399,30.982,89.272
6.008,29.229,30.911,89.276
6.008,29.174,30.724,89.267
6.007,28.961,30.944,89.300
6.009,29.309,31.044,89.410
6.011,29.250,30.561,89.107
6.012,28.861,30.256,88.865
6.012,28.337,30.620,89.063
6.014,28.432,30.744,89.436
6.013,28.366,30.598,89.369
6.012,28.314,30.306,89.368
