DOL,CD,FI3312A,FI3312B,TI3302A,TI3302B
19.625,6.014,29.793,31.702,88.843,87.290
19.667,6.014,29.051,31.489,88.803,87.279
19.708,6.013,29.548,31.395,88.774,87.196
19.750,6.013,28.800,31.610,88.767,87.153
19.792,6.013,29.766,31.327,88.736,87.108
19.833,6.013,29.565,31.506,88.780,87.081
19.875,6.015,29.637,31.459,88.789,87.135
19.958,6.014,29.347,31.557,88.784,87.263
20.000,6.013,29.463,31.644,88.800,87.174
20.042,6.011,29.521,31.700,88.794,87.191
20.083,6.012,29.565,31.873,88.774,87.142
20.125,6.011,29.616,31.603,88.778,87.214
20.167,6.013,29.228,31.910,88.772,87.231
20.208,6.011,29.665,31.817,88.752,87.162
20.250,6.011,29.651,31.741,88.750,87.212
20.292,6.009,29.745,31.736,88.642,87.070
20.375,6.012,29.652,31.816,88.801,87.226
20.417,6.013,29.478,32.003,88.804,87.283
20.458,6.011,29.697,31.814,88.803,87.234
20.500,6.016,29.642,31.752,88.862,87.281
20.542,6.015,29.706,31.876,88.851,87.326
20.583,6.015,28.958,31.747,88.853,87.233
20.625,6.014,29.492,31.430,88.756,87.111
20.667,6.014,29.706,31.636,88.819,87.307
20.708,6.014,29.560,31.661,88.801,87.212
20.750,6.012,29.648,31.832,88.814,87.211
20.792,6.013,29.724,31.625,88.794,87.148
20.833,6.013,29.430,31.406,88.768,87.127
20.875,6.014,29.530,31.368,88.810,87.062
20.958,6.013,29.511,31.481,88.864,87.143
21.000,6.012,29.840,31.463,88.814,87.152
21.042,6.013,29.507,31.607,88.814,87.038
21.083,6.012,29.550,31.484,88.807,87.117
21.125,6.011,29.323,30.950,88.558,86.839
21.167,6.009,29.451,31.072,88.412,86.641
21.208,6.010,29.880,31.540,88.645,86.994
21.250,6.010,29.620,31.373,88.686,87.039
21.292,6.010,28.909,31.402,88.752,87.027
21.375,6.012,28.940,31.530,88.814,87.148
21.417,6.011,29.025,31.499,88.827,87.178
21.458,6.012,29.726,31.373,88.722,87.069
21.500,6.012,29.892,31.752,88.743,87.166
21.542,6.013,29.876,31.401,88.793,87.236
21.583,6.013,29.947,31.402,88.795,87.194
21.625,6.014,29.890,31.711,88.789,87.235
21.667,6.013,29.982,31.763,88.798,87.159
21.708,6.012,29.031,31.512,88.776,87.132
21.750,6.012,29.894,31.807,88.770,87.142
21.792,6.012,29.991,31.894,88.722,87.192
21.833,6.013,29.840,31.774,88.724,87.147
21.875,6.012,30.008,31.784,88.747,87.176
21.958,6.012,29.813,31.679,88.815,87.206
22.000,6.012,29.829,31.884,88.800,87.200
22.042,6.013,29.880,31.468,88.774,87.136
22.083,6.012,29.345,31.367,88.753,87.090
22.125,6.012,29.858,31.462,88.773,87.094
22.167,6.011,29.747,31.305,88.751,87.088
22.208,6.013,29.889,31.412,88.763,87.109
22.250,6.013,29.387,31.628,88.755,87.117
22.292,6.012,29.690,31.538,88.784,87.147
22.375,6.014,29.549,31.612,88.792,87.136
22.417,6.013,29.694,31.651,88.866,87.242
22.458,6.013,29.943,31.737,88.846,87.203
22.500,6.013,29.750,31.892,88.837,87.236
22.542,6.014,29.836,31.707,88.851,87.298
22.583,6.014,29.810,31.471,88.826,87.225
22.625,6.014,29.913,31.663,88.795,87.194
22.667,6.013,29.746,31.502,88.769,87.122
22.708,6.013,29.712,31.783,88.756,87.150
22.750,6.013,29.829,31.519,88.813,87.191
22.792,6.012,29.958,31.612,88.843,87.145
22.833,6.013,29.769,31.784,88.819,87.192
22.875,6.013,29.882,31.494,88.814,87.136
22.958,6.013,29.559,31.586,88.882,87.182
23.000,6.014,29.712,31.533,88.821,87.223
23.042,6.012,29.778,31.460,88.787,87.093
23.083,6.012,29.831,31.567,88.745,87.054
23.125,6.012,29.909,31.561,88.795,87.113
23.167,6.011,29.797,31.489,88.795,87.161
23.208,6.012,29.702,31.477,88.802,87.163
23.250,6.012,29.845,31.451,88.838,87.118
23.292,6.010,29.229,31.452,88.613,86.930
23.375,6.010,29.687,31.687,88.690,86.995
23.417,6.011,29.873,31.732,88.703,87.026
23.458,6.009,29.682,31.624,88.702,87.002
23.500,6.011,29.700,31.665,88.740,87.009
23.542,6.011,29.519,31.550,88.861,87.215
23.583,6.011,29.688,31.806,88.886,87.284
23.625,6.013,29.658,31.490,88.861,87.246
23.667,6.012,29.432,31.599,88.864,87.222
23.708,6.012,29.612,31.561,88.829,87.178
23.750,6.012,29.234,31.578,88.873,87.200
23.792,6.012,29.137,31.579,88.801,87.128
23.833,6.011,29.355,31.247,88.763,87.127
23.875,6.011,29.839,31.692,88.780,87.124
23.958,6.015,29.223,31.774,88.772,87.197
24.000,6.012,29.820,31.674,88.797,87.170
24.042,6.012,29.864,31.635,88.755,87.172
24.083,6.012,29.632,31.569,88.734,87.111
24.125,6.013,29.251,31.569,88.745,87.098
24.167,6.012,29.774,31.629,88.731,87.119
24.208,6.012,29.458,31.538,88.732,87.099
24.250,6.013,29.850,31.382,88.734,87.081
24.292,6.012,29.828,31.549,88.774,87.125
24.375,6.012,29.779,31.464,88.800,87.189
24.417,6.011,29.837,31.384,88.819,87.242
24.458,6.012,28.960,31.344,88.823,87.220
24.500,6.013,29.165,31.584,88.874,87.289
24.542,6.014,28.988,31.571,88.858,87.393
24.583,6.014,29.866,31.465,88.836,87.294
24.625,6.013,29.632,31.535,88.802,87.333
24.667,6.013,29.892,31.485,88.779,87.338
24.708,6.013,29.794,31.509,88.783,87.247
24.750,6.014,29.879,31.742,88.767,87.195
24.792,6.012,29.760,31.318,88.748,87.161
24.833,6.013,29.833,31.507,88.755,87.127
24.875,6.012,29.581,31.508,88.738,87.120
24.958,6.013,29.923,31.641,88.780,87.143
25.000,6.012,29.805,31.560,88.757,87.143
25.042,6.012,29.929,31.768,88.774,87.153
25.083,6.010,30.042,31.617,88.760,87.078
25.125,6.011,29.624,31.552,88.774,87.154
25.167,6.011,29.737,31.472,88.794,87.141
25.208,6.011,29.685,31.625,88.804,87.208
25.250,6.011,29.795,31.533,88.793,87.178
25.292,6.013,29.800,31.601,88.809,87.195
25.375,6.013,29.632,31.569,88.896,87.308
25.417,6.013,29.927,31.628,88.898,87.260
25.458,6.013,29.745,31.543,88.861,87.319
25.500,6.013,29.967,31.523,88.863,87.392
25.542,6.014,29.680,31.641,88.899,87.453
25.583,6.014,29.835,31.739,88.912,87.423
25.625,6.014,29.902,31.640,88.886,87.394
25.667,6.014,29.106,31.542,88.863,87.345
25.708,6.012,29.825,31.559,88.812,87.291
25.750,6.012,29.953,31.404,88.796,87.218
25.792,6.012,29.880,31.776,88.778,87.115
25.833,6.012,29.827,31.510,88.801,87.191
25.875,6.013,29.881,31.617,88.803,87.206
25.958,6.012,29.723,31.655,88.832,87.202
26.000,6.014,29.804,31.665,88.830,87.209
26.042,6.013,29.780,31.547,88.820,87.176
26.083,6.015,29.824,31.429,88.769,87.153
26.125,6.015,29.736,31.495,88.784,87.168
26.167,6.013,29.651,31.521,88.752,87.152
26.208,6.014,29.802,31.815,88.799,87.174
26.250,6.012,29.889,31.575,88.785,87.161
26.292,6.013,29.913,31.651,88.811,87.200
26.375,6.013,29.889,31.603,88.859,87.253
26.417,6.013,30.014,31.708,88.894,87.342
26.458,6.014,29.381,31.516,88.913,87.437
26.500,6.014,29.884,31.521,88.960,87.480
