DOL,CD,FI3312B,TI3302A
26.292,6.013,31.651,88.811
26.375,6.013,31.603,88.859
26.417,6.013,31.708,88.894
26.458,6.014,31.516,88.913
26.500,6.014,31.521,88.960
26.542,6.015,31.622,88.982
26.583,6.015,31.828,88.946
26.625,6.014,31.487,89.021
26.667,6.015,31.519,88.878
26.708,6.013,31.535,88.868
26.750,6.012,31.760,88.851
26.792,6.012,31.742,88.849
26.833,6.013,31.453,88.892
26.875,6.013,31.548,88.925
26.958,6.013,31.663,88.836
27.000,6.012,31.510,88.814
27.042,6.012,31.378,88.792
27.083,6.014,31.662,88.793
27.125,6.012,31.559,88.816
27.167,6.012,31.513,88.840
27.208,6.012,31.680,88.830
27.250,6.013,31.491,88.840
27.292,6.013,31.591,88.822
27.375,6.014,31.699,88.844
27.417,6.014,31.561,88.890
27.458,6.013,31.597,88.904
27.500,6.015,31.690,88.971
27.542,6.015,31.848,88.958
27.583,6.015,31.713,88.928
27.625,6.014,31.715,88.900
27.667,6.014,31.555,88.884
27.708,6.012,31.799,88.865
27.750,6.014,31.453,88.838
27.792,6.013,31.674,88.850
27.833,6.014,31.636,88.806
27.875,6.015,31.628,88.836
27.958,6.012,31.596,88.892
28.000,6.013,31.651,88.874
28.042,6.012,31.387,88.865
28.083,6.013,31.655,88.857
28.125,6.013,31.803,88.877
28.167,6.014,31.589,88.835
28.208,6.012,31.723,88.860
28.250,6.013,31.760,88.884
28.292,6.013,31.834,88.901
28.375,2.547,30.883,85.618
28.417,2.455,30.885,85.085
28.458,2.331,30.878,85.072
28.958,6.011,29.879,88.579
29.000,6.013,29.749,88.804
29.042,6.012,30.292,88.589
29.083,6.013,30.227,88.639
29.125,6.013,30.748,88.702
29.167,6.014,30.403,88.680
29.208,6.013,30.608,88.563
29.250,6.013,30.712,88.566
29.292,6.012,30.616,88.701
29.375,3.047,30.184,86.559
29.417,2.454,29.611,84.373
29.458,2.454,29.744,84.099
29.500,2.455,29.995,84.076
29.542,2.454,29.776,84.050
29.583,2.453,29.690,83.987
29.625,2.454,29.674,84.038
29.667,2.453,29.426,84.007
29.708,2.452,29.889,84.037
29.750,2.454,29.941,84.079
29.792,2.452,29.765,84.032
29.833,2.453,29.628,83.983
29.875,2.452,29.399,83.947
29.958,6.012,30.458,88.426
30.000,6.012,30.233,88.906
30.042,6.012,30.391,88.819
30.083,6.013,30.807,88.785
30.125,6.014,30.146,88.807
30.167,6.012,30.573,88.840
30.208,6.014,29.766,88.857
30.250,6.013,30.302,88.902
30.292,6.012,30.501,88.900
30.375,4.294,29.749,89.166
30.417,2.452,30.687,85.107
30.458,2.451,30.935,84.424
30.500,2.454,30.775,84.836
30.542,2.453,30.316,85.091
30.583,2.453,30.525,85.100
30.625,2.452,30.879,85.066
30.667,2.453,30.793,85.244
30.708,2.453,30.558,85.313
30.750,2.453,30.761,85.316
30.792,2.453,30.699,85.275
30.833,2.453,30.567,85.266
30.875,2.453,30.525,85.259
30.958,6.012,31.576,88.721
31.000,6.011,31.801,88.731
31.042,6.012,31.543,88.779
31.083,6.012,31.607,88.846
31.125,6.011,31.478,88.842
31.167,6.011,31.433,88.853
31.208,6.012,31.910,88.880
31.250,6.012,31.382,88.879
31.292,6.013,32.019,88.851
31.375,2.456,31.256,86.254
31.417,2.454,30.867,84.898
31.458,2.455,30.977,84.641
31.500,2.454,31.034,84.436
31.542,2.454,30.682,84.257
31.583,2.452,30.755,84.209
31.625,2.454,31.026,84.333
31.667,2.453,30.703,84.407
31.708,2.453,30.429,84.178
31.750,2.451,30.784,84.125
31.792,2.450,30.836,84.269
31.833,2.451,30.592,84.208
31.875,2.451,30.619,84.178
31.958,6.010,31.066,88.583
32.000,6.010,31.544,88.881
32.042,6.011,31.150,88.926
32.083,6.009,31.202,88.980
32.125,6.011,31.426,88.969
32.167,6.011,31.622,88.959
32.208,6.010,30.827,88.965
32.250,6.009,31.078,88.984
32.292,6.011,31.252,88.835
32.375,3.372,30.628,86.505
32.417,2.452,30.570,84.218
32.458,2.454,30.687,83.729
32.500,2.455,30.890,83.624
32.542,2.456,30.898,83.621
32.583,2.456,31.165,83.645
32.625,2.455,31.017,83.732
32.667,2.455,31.060,84.240
32.708,2.455,31.082,84.244
32.750,2.454,30.700,84.287
32.792,2.455,31.073,84.234
32.833,2.454,30.528,84.173
32.875,2.453,30.570,84.060
