CD,FI3312A,FI3312B
6.013,29.085,30.147
6.014,29.143,30.094
6.015,28.888,30.077
6.014,28.968,30.118
6.015,28.303,30.180
6.015,28.231,30.231
6.014,28.327,30.377
6.013,28.710,30.140
6.015,28.142,30.372
6.013,28.726,30.066
6.013,28.845,30.177
6.014,28.644,30.231
6.014,28.200,30.091
6.012,28.355,30.226
6.013,28.343,30.223
6.014,28.438,30.088
6.012,28.746,30.068
6.013,28.166,30.121
6.013,28.032,30.105
6.014,28.381,30.297
6.014,28.575,30.170
6.014,28.280,30.119
6.015,28.891,29.963
6.016,28.868,30.060
6.016,28.142,30.016
6.014,28.854,30.196
6.016,28.698,30.326
6.015,28.762,30.227
6.016,29.055,30.256
6.014,28.915,30.319
6.012,28.437,30.335
6.014,28.790,30.076
6.014,28.121,30.249
6.015,28.817,30.134
6.014,28.662,30.117
6.014,28.036,30.092
6.014,28.186,30.406
6.016,28.838,30.101
6.017,28.636,30.205
6.014,29.564,30.052
6.014,29.317,29.957
6.018,29.660,29.850
6.016,29.465,30.117
6.018,29.205,30.224
6.017,29.456,29.761
6.015,29.061,30.058
6.016,29.575,30.238
6.015,29.086,29.892
6.019,29.090,30.123
6.016,29.478,29.939
6.017,29.448,30.164
6.017,28.937,30.131
6.017,28.655,30.027
6.014,28.954,29.950
6.014,28.526,29.990
6.015,29.200,30.159
6.014,29.306,29.963
6.012,28.833,29.810
6.012,29.280,29.751
6.013,28.943,29.960
6.014,29.082,29.876
6.014,29.550,30.164
6.014,29.580,29.950
6.015,29.615,29.861
6.015,29.371,29.906
6.015,29.315,29.966
6.016,29.350,29.951
6.015,29.294,30.279
6.016,28.748,29.929
6.016,29.430,29.893
6.014,28.919,29.987
6.014,29.521,30.133
6.016,29.250,29.832
6.015,29.439,30.131
6.015,28.864,30.101
6.014,29.363,30.078
6.014,28.628,30.110
6.015,29.086,30.114
6.014,29.314,29.954
6.013,28.689,30.021
6.014,28.713,30.017
6.014,29.486,30.003
6.013,29.621,29.777
6.014,29.062,29.896
6.014,29.113,29.827
6.013,29.092,29.881
5.211,28.259,29.159
5.578,28.677,29.793
6.011,29.023,29.936
6.013,29.273,30.032
6.013,29.212,29.770
6.014,29.125,30.052
6.013,29.100,30.218
6.010,29.418,30.144
6.012,28.666,30.233
6.014,28.547,30.091
6.012,29.245,30.057
6.014,28.692,30.005
6.015,28.844,30.125
6.013,28.811,30.036
6.012,29.325,29.923
6.013,29.179,29.831
