DOL,CD,FI3312A,FI3312B
25.542,6.014,29.680,31.641
25.583,6.014,29.835,31.739
25.625,6.014,29.902,31.640
25.667,6.014,29.106,31.542
25.708,6.012,29.825,31.559
25.750,6.012,29.953,31.404
25.792,6.012,29.880,31.776
25.833,6.012,29.827,31.510
25.875,6.013,29.881,31.617
25.958,6.012,29.723,31.655
26.000,6.014,29.804,31.665
26.042,6.013,29.780,31.547
26.083,6.015,29.824,31.429
26.125,6.015,29.736,31.495
26.167,6.013,29.651,31.521
26.208,6.014,29.802,31.815
26.250,6.012,29.889,31.575
26.292,6.013,29.913,31.651
26.375,6.013,29.889,31.603
26.417,6.013,30.014,31.708
26.458,6.014,29.381,31.516
26.500,6.014,29.884,31.521
26.542,6.015,29.805,31.622
26.583,6.015,29.656,31.828
26.625,6.014,29.671,31.487
26.667,6.015,29.827,31.519
26.708,6.013,29.814,31.535
26.750,6.012,29.620,31.760
26.792,6.012,29.835,31.742
26.833,6.013,29.701,31.453
26.875,6.013,29.968,31.548
26.958,6.013,29.913,31.663
27.000,6.012,29.818,31.510
27.042,6.012,29.673,31.378
27.083,6.014,29.864,31.662
27.125,6.012,29.684,31.559
27.167,6.012,29.837,31.513
27.208,6.012,29.990,31.680
27.250,6.013,29.902,31.491
27.292,6.013,29.907,31.591
27.375,6.014,29.575,31.699
27.417,6.014,29.987,31.561
27.458,6.013,29.971,31.597
27.500,6.015,29.678,31.690
27.542,6.015,29.772,31.848
27.583,6.015,29.872,31.713
27.625,6.014,29.737,31.715
27.667,6.014,29.734,31.555
27.708,6.012,30.046,31.799
27.750,6.014,29.790,31.453
27.792,6.013,29.737,31.674
27.833,6.014,29.760,31.636
27.875,6.015,29.981,31.628
27.958,6.012,29.637,31.596
28.000,6.013,29.738,31.651
28.042,6.012,29.519,31.387
28.083,6.013,29.561,31.655
28.125,6.013,29.132,31.803
28.167,6.014,29.943,31.589
28.208,6.012,29.858,31.723
28.250,6.013,29.158,31.760
28.292,6.013,29.986,31.834
28.375,2.547,15.496,30.883
28.417,2.455,15.722,30.885
28.458,2.331,17.235,30.878
28.958,6.011,28.539,29.879
29.000,6.013,28.528,29.749
29.042,6.012,28.539,30.292
29.083,6.013,28.022,30.227
29.125,6.013,28.458,30.748
29.167,6.014,28.536,30.403
29.208,6.013,28.134,30.608
29.250,6.013,28.091,30.712
29.292,6.012,27.955,30.616
29.375,3.047,16.188,30.184
29.417,2.454,14.097,29.611
29.458,2.454,13.972,29.744
29.500,2.455,13.949,29.995
29.542,2.454,13.973,29.776
29.583,2.453,13.973,29.690
29.625,2.454,13.976,29.674
29.667,2.453,13.893,29.426
29.708,2.452,13.781,29.889
29.750,2.454,13.851,29.941
29.792,2.452,13.858,29.765
29.833,2.453,13.784,29.628
29.875,2.452,13.747,29.399
29.958,6.012,28.888,30.458
30.000,6.012,28.566,30.233
30.042,6.012,28.278,30.391
30.083,6.013,28.608,30.807
30.125,6.014,28.223,30.146
30.167,6.012,28.359,30.573
30.208,6.014,28.875,29.766
30.250,6.013,28.528,30.302
30.292,6.012,28.434,30.501
30.375,4.294,25.381,29.749
30.417,2.452,14.447,30.687
30.458,2.451,14.397,30.935
30.500,2.454,14.474,30.775
30.542,2.453,14.476,30.316
30.583,2.453,14.416,30.525
30.625,2.452,14.328,30.879
30.667,2.453,14.412,30.793
30.708,2.453,14.446,30.558
30.750,2.453,14.507,30.761
30.792,2.453,14.500,30.699
30.833,2.453,14.492,30.567
30.875,2.453,14.473,30.525
30.958,6.012,30.025,31.576
31.000,6.011,30.045,31.801
31.042,6.012,29.969,31.543
31.083,6.012,29.975,31.607
31.125,6.011,30.036,31.478
